cruise,station,lon,lat,dep,fluor,oxygen2,par,pres,sal,sigtheta,temp,theta,file
C303B,C303B-005,-71.03066666666666,41.4085,3,0.022933029846351385,5.76429503771049,72.25791865427531,3.0791572583582196,32.01937435662067,23.45050739997947,16.02505545461167,16.024602243509097,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,4,0.3726601323829043,5.895197295046005,51.00295582990811,4.151985105941486,32.0208057120737,23.48095932780937,15.893607335320322,15.89298812604581,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,5,0.8651402158417074,6.038790496703231,43.52518696152588,5.0408039582642,31.998633322934694,23.536168471791964,15.56666984822925,15.565911232030189,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,6,0.9406934340649218,6.065165470790619,29.715349685487972,5.929977577486263,31.99614588568353,23.55835528820729,15.457666512674912,15.45675829387938,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,7,1.2103122174468985,6.038723052379806,20.453029780672722,6.886936638786931,31.996881283470728,23.56553276957097,15.427684044918468,15.426632113093447,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,8,1.3331273755933817,6.039194282847545,14.724043792442963,8.141542233881307,31.996358977143952,23.570178248930276,15.40461461508379,15.403406568509633,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,9,1.4828188054144518,6.035017787986104,10.673836947440257,9.096323945804773,31.996467560411794,23.57471311045701,15.384423260863135,15.383077220487182,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,10,1.4797952577062534,6.039533352632424,7.689341055188359,9.980630826705433,31.99640776140407,23.577689643044305,15.370627967869122,15.369131267802356,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,11,1.6024071106439477,6.05062825669396,5.787447149369331,11.119398096924098,31.996668041602128,23.57894629409162,15.365893905731356,15.364236633325957,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,12,1.5976254879183014,6.064173734715646,4.3270167523537815,12.17396760252005,31.996411225442618,23.579039724097342,15.3647116539397,15.362890915381973,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,13,1.4663474820707054,6.072075304542088,3.181162231361663,13.000704526431784,31.995921577777914,23.580977285646338,15.354241728438177,15.352288480992838,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,14,1.5152151214254315,6.098362169238889,2.388251252591796,13.835698815954009,31.995569314562015,23.583686199812533,15.34073469220625,15.33863632435915,C303B-005-HC.cnv
C303B,C303B-005,-71.03066666666666,41.4085,15,1.6861995649874528,6.115350282576685,1.7305714887902617,15.193085426301923,31.994983655142374,23.58554789441483,15.330276442955807,15.32802651398884,C303B-005-HC.cnv
