cruise,station,lon,lat,dep,fluor,oxygen2,par,pres,sal,sigtheta,temp,theta,file
C303B,C303B-002,-70.75966666666666,41.197833333333335,3,0.38661994135519906,6.284607280434118,63.467600302198214,2.9901451423092005,31.846855813755816,23.264465353339435,16.264791706911335,16.263305568001854,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,4,0.563691744865841,6.280441030488311,47.08694488695048,4.055574822264609,31.856913905391238,23.269066785156923,16.278357429829384,16.27705642467261,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,5,0.665896881848244,6.249997765689023,40.35361817108398,5.05866032709919,31.84649668262101,23.263906247847565,16.26219396352991,16.26460202152782,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,6,0.7318600632722287,6.258777677252653,30.834659628541004,6.1144798888806005,31.855354670351712,23.275797674798174,16.24431707907305,16.241864641625416,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,7,0.8608799681893395,6.238415453446633,25.1410869603398,6.862803384059239,31.848842532170593,23.26211477889845,16.282246642778503,16.27955840076466,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,8,0.9359469998503667,6.284827776946476,20.491226594842647,8.300463863534338,31.84750135168836,23.274950765624208,16.21191102299368,16.21822714848621,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,9,1.0010217166111728,6.389253113824146,16.06578530028363,9.118017018128008,31.84310829325441,23.29705197311629,16.090632383771123,16.10560342828956,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,10,1.1662816733699108,6.412547386935277,12.472201800871625,10.114247295691113,31.847328675278845,23.34486002725319,15.88056926272316,15.905836684955517,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,11,1.4796958858487503,6.4671384089899515,10.223035004142009,10.972662768780088,31.862195770953146,23.41009930306268,15.630748149304265,15.6629429243754,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,12,1.8273746727165392,6.567842339078397,8.236290929820704,12.181878161425114,31.910967558714255,23.582112666535483,14.884721303809338,15.034092328082137,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,13,2.440453736732684,6.771318426523691,6.1297690885217175,13.008316008316012,32.066931305394476,23.98181066309224,13.536645475434947,13.700594414049672,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,14,2.5137866630321652,6.989262163602121,4.972809877583389,14.05243594191406,32.15013667418348,24.281609320637358,12.349434517024335,12.502769587277596,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,15,2.825905805376175,6.8020329734341365,3.8487663597941926,15.132443429411456,32.253370847640056,24.494614143959673,11.739698846800021,11.792641165275372,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,16,2.9528404932535306,6.4488400821651695,3.0014657350238867,15.917343938678009,32.28561240799076,24.571224633800597,11.501325612169895,11.511102077755025,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,17,2.515052541106128,6.394410014947682,2.374900523168909,17.059790732436472,32.291571225710015,24.5865408819133,11.451608370702541,11.452446562032884,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,18,1.7944235005871474,6.408216685613631,1.8272156490480707,18.12657405556666,32.29202555497951,24.59024468350239,11.435247304742154,11.433864649023084,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,19,1.619035920635119,6.41042598503398,1.4187216829277431,18.97606436138317,32.29190344074806,24.590922089558756,11.43195740368279,11.42964249481561,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,20,1.6346187704280155,6.434427330739299,1.1321098972762644,20.14396887159533,32.29138670817121,24.59117684046693,11.427542754863815,11.425962101167315,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,21,1.503544979457683,6.452822875924404,0.8791310649137223,21.059161873459324,32.29164489728842,24.591999408381266,11.424407460969599,11.422501972062449,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,22,1.424307674219752,6.454798615098027,0.6950773762444267,22.054586819764246,32.2918468507604,24.593489303273685,11.417906433610211,11.41503793669456,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,23,1.3589468695196965,6.471753718099726,0.5316685763643502,23.187095929852113,32.29173294071457,24.593127102473495,11.419184656458581,11.416551889805,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,24,1.2855569382888636,6.482328537495863,0.38903790142548295,24.1056292507013,32.29152452981329,24.593644414203485,11.415538441958503,11.412787485502383,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,25,1.2886227603308664,6.490617233286432,0.2997218042603005,25.113750869206974,32.291961658672264,24.593964303225064,11.415903091161407,11.412911821695523,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,26,1.291904964145759,6.504755329304542,0.2176528231538354,26.07855067023088,32.292114182759896,24.594377364902037,11.41447928235422,11.411316318408389,C303B-002-HC.cnv
C303B,C303B-002,-70.75966666666666,41.197833333333335,27,1.4048646616308063,6.50554843354634,0.15070104658714165,27.092763160956718,32.2922979825529,24.594705873154023,11.413506633963047,11.410202728145746,C303B-002-HC.cnv
