station,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,station_distance,bottle,chla,no3,po4,sio2,o2,ph,alk,notes,depth,conductivity,temperature,pressure,scan,fluorescence,oxygen,oxygen2,par,v0,v1,v2,v3,v4,v5,flag,salinity,theta,sigma
C308C-006,6/17/2023,15:59:00,NA,4,2023-06-17T19:59:00.000Z,-70.4664,41.4935,18.09,31.241,88,NA,1,2.267799761,0.362318841,NA,NA,NA,8.157,NA,NA,20.7,41.71604567,17.76937778,20.79511111,1534,0.062935111,217.5247778,4.981466667,1e-12,0.498177778,2.11e-4,3.33e-4,1e-4,2.759533333,0.062933333,0,31.62447295,17.76593287,22.7448792
C308C-006,6/17/2023,15:59:00,NA,4,2023-06-17T19:59:00.000Z,-70.4664,41.4935,18.09,31.241,88,NA,9,2.253391884,0.68115942,NA,NA,NA,8.123,NA,NA,15.7,41.71500244,17.77347778,15.74855556,1667,0.066376667,217.5666667,4.982433333,0.077330556,1.1995,2.78e-4,1.67e-4,2.44e-4,2.763477778,0.066388889,0,31.62215738,17.7708688,22.74192819
C308C-006,6/17/2023,15:59:00,NA,4,2023-06-17T19:59:00.000Z,-70.4664,41.4935,18.09,31.241,88,NA,11,1.518590183,0.376811594,NA,NA,NA,8.162,NA,NA,5.7,41.70702944,17.77415556,5.692777778,1892,0.059713444,218.6108889,5.006322222,6.570577778,2.682955556,1.78e-4,1.56e-4,3.22e-4,2.774366667,0.059711111,0,31.61837199,17.7732127,22.73847206
C308C-006,6/17/2023,15:59:00,NA,4,2023-06-17T19:59:00.000Z,-70.4664,41.4935,18.09,31.241,88,NA,12,2.83835167,0.31884058,NA,NA,NA,8.108,NA,NA,2.7,41.69191189,17.79638889,2.729,1959,0.058815222,219.6905556,5.030888889,22.41788889,3.209366667,2.67e-4,5.56e-4,2.56e-4,2.7863,0.0588,0,31.58937828,17.79593661,22.71085886
