station,dttm,lon,lat
C303B-001,2022-06-10T11:10:00.000Z,-70.97333333333333,41.303333333333335
C303B-002,2022-06-10T17:11:00.000Z,-70.76,41.19833333333333
C303B-003,2022-06-10T22:32:00.000Z,-70.49666666666667,41.093333333333334
C303B-004,2022-06-11T09:27:00.000Z,-71.25166666666667,41.325
C303B-005,2022-06-11T15:13:00.000Z,-71.03,41.40833333333333
