station,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,station_distance,bottle,chla,no3,po4,sio2,o2,ph,alk,notes,depth,conductivity,temperature,pressure,scan,fluorescence,oxygen,oxygen2,par,v0,v1,v2,v3,v4,v5,flag,salinity,theta,sigma
C308C-002,6/15/2023,17:19:00,NA,4,2023-06-15T21:19:00.000Z,-70.7985,41.3849,17.32,31.84,116,NA,1,1.347463904,0.608695652,NA,NA,NA,7.549,NA,NA,21.4,40.47702578,16.25622222,21.52177778,1542,0.074616778,236.0975556,5.409155556,0.094209667,1.230566667,2.22e-5,7.78e-5,1.44e-4,2.881977778,0.074622222,0,31.74847987,16.25287879,23.19130025
C308C-002,6/15/2023,17:19:00,NA,4,2023-06-15T21:19:00.000Z,-70.7985,41.3849,17.32,31.84,116,NA,9,1.748155682,0.347826087,NA,NA,NA,7.615,NA,NA,15.6,40.736276,16.4733,15.67288889,1655,0.080804889,236.4603333,5.417433333,0.861793333,1.858722222,1.11e-5,1.11e-4,7.78e-5,2.898155556,0.0808,0,31.80393102,16.47084091,23.18448649
C308C-002,6/15/2023,17:19:00,NA,4,2023-06-15T21:19:00.000Z,-70.7985,41.3849,17.32,31.84,116,NA,10,2.30526024,0.362318841,NA,NA,NA,7.678,NA,NA,10.7,40.99011333,16.7076,10.78811111,1752,0.07148,236.1686667,5.4106,3.562544444,2.425388889,3.33e-5,3.33e-5,6.67e-5,2.909111111,0.071466667,0,31.83991067,16.70588957,23.15833973
C308C-002,6/15/2023,17:19:00,NA,4,2023-06-15T21:19:00.000Z,-70.7985,41.3849,17.32,31.84,116,NA,11,1.934771987,0.47826087,NA,NA,NA,7.825,NA,NA,5.6,41.38652,17.1154,5.581444444,1857,0.058823444,235.2081111,5.388188889,16.77611111,3.084877778,2.22e-5,6.67e-5,3.33e-5,2.921044444,0.058811111,0,31.86082616,17.11449933,23.07972493
C308C-002,6/15/2023,17:19:00,NA,4,2023-06-15T21:19:00.000Z,-70.7985,41.3849,17.32,31.84,116,NA,12,1.257126807,0.420289855,NA,NA,NA,7.929,NA,NA,2.6,41.40476389,17.14872222,2.597333333,2056,0.047599556,223.7346667,5.125277778,49.07522222,3.546911111,1.11e-5,1.11e-4,1.11e-4,2.822977778,0.047588889,0,31.85124651,17.14830256,23.06448704
