dep,temp,theta,sigtheta,sal,fluor,par,oxygen,lon,lat,station,cruise
NA,NA,NA,NA,NA,NA,NA,NA,-151.79166666666666,-24.621666666666666,S285_044,S285
NA,NA,NA,NA,NA,NA,NA,NA,-151.79166666666666,-24.621666666666666,S285_044,S285
NA,NA,NA,NA,NA,NA,NA,NA,-151.79166666666666,-24.621666666666666,S285_044,S285
NA,NA,NA,NA,NA,NA,NA,NA,-151.79166666666666,-24.621666666666666,S285_044,S285
NA,NA,NA,NA,NA,NA,NA,NA,-151.79166666666666,-24.621666666666666,S285_044,S285
5.242333333333334,25.55621666666666,25.555049999999998,23.564208333333337,35.52034166666667,0.06027858333333334,1043.4691666666668,2.418455,-151.79166666666666,-24.621666666666666,S285_044,S285
6.0426794871794876,25.553046153846157,25.55172179487179,23.572989743589744,35.53059102564104,0.05979176923076924,889.6253846153846,2.3797369230769223,-151.79166666666666,-24.621666666666666,S285_044,S285
6.990662650602412,25.557540963855416,25.55598955823295,23.57539578313254,35.535527510040104,0.06058143373493979,809.99969879518,2.372749658634537,-151.79166666666666,-24.621666666666666,S285_044,S285
7.517987654320989,25.57173950617283,25.570034567901228,23.57267283950617,35.53766666666665,0.060489358024691374,829.0156790123456,2.3668960493827162,-151.79166666666666,-24.621666666666666,S285_044,S285
9.105545454545453,25.577672727272727,25.575627272727274,23.576527272727272,35.54503636363636,0.06094181818181818,768.4536363636363,2.4280890909090913,-151.79166666666666,-24.621666666666666,S285_044,S285
9.917499999999999,25.57735,25.57515,23.576724999999996,35.545112499999995,0.061264250000000006,751.3737500000001,2.39644875,-151.79166666666666,-24.621666666666666,S285_044,S285
10.984444444444442,25.5755,25.57305555555556,23.5778,35.54571111111111,0.060787,700.9022222222223,2.3809377777777776,-151.79166666666666,-24.621666666666666,S285_044,S285
11.941,25.575719999999997,25.573079999999997,23.57772,35.54556,0.0603508,655.7119999999999,2.3738099999999998,-151.79166666666666,-24.621666666666666,S285_044,S285
12.93675,25.57635,25.57345,23.577524999999998,35.545500000000004,0.05965775,506.78,2.3707775,-151.79166666666666,-24.621666666666666,S285_044,S285
13.991999999999999,25.577428571428577,25.57432142857143,23.576985714285716,35.54512857142858,0.061239857142857144,489.80071428571426,2.3567335714285713,-151.79166666666666,-24.621666666666666,S285_044,S285
14.94525,25.577175,25.573875,23.577275,35.5453,0.0638835,501.78249999999997,2.3509575,-151.79166666666666,-24.621666666666666,S285_044,S285
15.907599999999999,25.577360000000006,25.57384,23.57724,35.54521999999999,0.065165,493.096,2.34763,-151.79166666666666,-24.621666666666666,S285_044,S285
16.897,25.57806,25.574279999999998,23.576919999999994,35.544979999999995,0.06372340000000001,502.21400000000006,2.33914,-151.79166666666666,-24.621666666666666,S285_044,S285
17.661785714285717,25.577835714285715,25.573921428571424,23.577071428571426,35.54505714285715,0.06736428571428571,475.03785714285715,2.323395714285714,-151.79166666666666,-24.621666666666666,S285_044,S285
18.829500000000003,25.577125000000002,25.572925,23.577450000000002,35.54515,0.06347725,427.7625,2.3210525,-151.79166666666666,-24.621666666666666,S285_044,S285
19.990555555555556,25.577688888888886,25.57323333333333,23.5772,35.54494444444445,0.06472066666666668,406.63333333333344,2.311055555555556,-151.79166666666666,-24.621666666666666,S285_044,S285
20.856,25.57756666666667,25.572950000000002,23.5771,35.5447,0.0674365,377.8183333333333,2.303053333333333,-151.79166666666666,-24.621666666666666,S285_044,S285
21.7845,25.577525,25.572675,23.5771,35.5446,0.06894824999999999,387.37,2.2991825,-151.79166666666666,-24.621666666666666,S285_044,S285
22.80333333333333,25.577666666666666,25.572577777777777,23.577077777777777,35.54456666666667,0.07309622222222223,404.98555555555555,2.290688888888889,-151.79166666666666,-24.621666666666666,S285_044,S285
23.768714285714285,25.577814285714286,25.572542857142857,23.577114285714288,35.544585714285716,0.07222228571428571,405.8071428571429,2.283692857142857,-151.79166666666666,-24.621666666666666,S285_044,S285
24.80216666666667,25.577849999999998,25.572333333333333,23.577266666666674,35.544650000000004,0.07348516666666667,388.47166666666664,2.2839783333333337,-151.79166666666666,-24.621666666666666,S285_044,S285
25.833916666666667,25.578216666666663,25.572483333333334,23.577150000000003,35.544599999999996,0.07118383333333332,372.97333333333336,2.2800525,-151.79166666666666,-24.621666666666666,S285_044,S285
26.862,25.57871666666667,25.57275,23.57711666666667,35.54461666666667,0.07063166666666668,372.09999999999997,2.2795816666666666,-151.79166666666666,-24.621666666666666,S285_044,S285
27.793750000000003,25.5793,25.573124999999997,23.576925,35.54455,0.07323100000000002,343.5925,2.2811575,-151.79166666666666,-24.621666666666666,S285_044,S285
28.7588,25.57984,25.57342,23.5768,35.54452,0.0738318,330.084,2.280742,-151.79166666666666,-24.621666666666666,S285_044,S285
29.86909090909091,25.580445454545455,25.573800000000002,23.576545454545453,35.544327272727266,0.07364399999999999,345.9081818181818,2.2734509090909096,-151.79166666666666,-24.621666666666666,S285_044,S285
30.763166666666663,25.580683333333337,25.573866666666664,23.5766,35.54441666666666,0.07401433333333333,318.45166666666665,2.2705116666666667,-151.79166666666666,-24.621666666666666,S285_044,S285
31.787200000000002,25.5808,25.57372,23.576680000000003,35.544439999999994,0.0751292,303.68999999999994,2.271676,-151.79166666666666,-24.621666666666666,S285_044,S285
32.788666666666664,25.580991666666662,25.573691666666665,23.576674999999998,35.54444999999999,0.07553325,307.2775,2.2700775,-151.79166666666666,-24.621666666666666,S285_044,S285
33.671625,25.581149999999997,25.5736875,23.5766875,35.5444875,0.075099625,312.57625,2.26728,-151.79166666666666,-24.621666666666666,S285_044,S285
